arquivo,tempo_processamento_s,quantidade_paginas,quantidade_imagens_extraidas,quantidade_tabelas_extraidas,ram_max_mb,vram_max_mb,status
relatorio_avaliacao-cmas-2020-pmcmv.pdf,442.21,204,133,90,1336.45,45091,Sucesso
relatorio_avaliacao-cmag-2020-mac.pdf,440.85,60,47,15,1317.5,43479,Sucesso
mei-relatorio-avaliacao.pdf,500.54,124,131,26,1344.07,43271,Sucesso
politica-nuclear_relatorio-de-avaliacao.pdf,553.74,179,115,46,1339.13,45607,Sucesso
relatorio_avaliacao-cmag-2019-ceaf.pdf,496.09,117,77,34,1341.98,44531,Sucesso
eubndes-relatorio-de-avaliacao.pdf,521.69,104,31,16,1325.8,43855,Sucesso
relatorio_avaliacao-cmas-2019-lei-de-informatica.pdf,426.94,74,63,7,1335.26,44473,Sucesso
relatorio_avaliacao_wi-fibrasil_atualizacao.pdf,350.02,127,65,28,1332.96,43991,Sucesso
fndct-relatorio-de-avaliacao.pdf,360.94,155,98,45,1335.98,44897,Sucesso
financ-ct-i-saude_relatorio-de-avaliacao.pdf,365.02,90,46,9,1326.11,43455,Sucesso
relatorio_avaliacao-cmag-2020-bpc.pdf,389.79,94,49,26,1315.36,44915,Sucesso
imuno-ist-relatorio-de-avaliacao.pdf,428.66,111,119,17,1338.28,40319,Sucesso
relatorio_avaliacao-cmag-2020-pbf.pdf,382.71,98,80,23,1333.92,45057,Sucesso
relatorio_avaliacao-cmas-2019-proger.pdf,375.48,43,48,25,1318.46,42179,Sucesso
relatorio_avaliacao-cmag-sdpa.pdf,379.03,116,38,14,1326.7,43827,Sucesso
relatorio_avaliacao-cmas-2020-pronaf.pdf,365.53,158,106,67,1348.84,43953,Sucesso
relatorio_avaliacao_fundoclima_atualizacao.pdf,460.1,251,165,76,1378.54,44403,Sucesso
fmm_relatorio-de-avaliacao.pdf,509.46,114,92,32,1337.48,43951,Sucesso
relatorio_avaliacao-cmag-2020-aps.pdf,487.1,81,51,36,1331.01,34204,Sucesso
relatorio_avaliacao-cmag-2019-defesa-agropecuaria.pdf,446.33,143,92,36,1337.15,35528,Sucesso
exames-educ-basica_relatorio-de-avaliacao.pdf,329.35,126,172,42,1334.77,35254,Sucesso
relatorio_avaliacao_ocp_atualizacao.pdf,308.75,144,98,52,1330.72,35070,Sucesso
relatorio_avaliacao-cmas-2020-leasing.pdf,286.62,49,26,9,1307.47,40307,Sucesso
parcela-isenta-irpf-aposentadoria-65-relatorio-de-avaliacao.pdf,247.97,60,49,19,1324.77,42657,Sucesso
rfu-relatorio-de-avaliacao.pdf,302.75,187,143,32,1351.77,43979,Sucesso
ftra_relatorio-de-avaliacao.pdf,296.47,89,30,13,1315.01,44033,Sucesso
pronac_relatorio-de-avaliacao.pdf,497.83,195,113,53,1335.8,44947,Sucesso
proex_relatorio-de-avaliacao.pdf,507.87,63,55,35,1314.5,44135,Sucesso
relatorio_avaliacao_lie_atualizacao.pdf,431.11,87,67,17,1319.13,43373,Sucesso
sasisus_relatorio-de-avaliacao.pdf,584.06,177,167,61,1358.36,44873,Sucesso
relatorio_avaliacao-cmas-2020-cebas-saude.pdf,457.98,123,115,36,1325.96,42661,Sucesso
medicamentos-relatorio-de-avaliacao.pdf,490.77,94,66,42,1322.14,43943,Sucesso
relatorio_avaliacao-cmas-2019-cde.pdf,481.95,88,82,24,1322.11,43891,Sucesso
desoneracao-cesta-basica-relatorio-de-avaliacao.pdf,408.09,98,88,32,1312.82,43839,Sucesso
relatorio_avaliacao-cmas-2020-molestias-graves.pdf,44.68,48,36,18,1316.34,6863,Sucesso
relatorio_avaliacao-cmas-2020-molestias-graves.pdf,39.96,48,36,18,1307.45,7210,Sucesso
relatorio_avaliacao-cmag-2020-abono.pdf,99.21,65,35,13,1331.36,7890,Sucesso
relatorio_avaliacao-cmas-2020-molestias-graves.pdf,42.26,48,36,18,1327.03,7210,Sucesso
relatorio_avaliacao-cmas-2020-deducao-despesas-medicas.pdf,91.28,47,31,17,1313.86,7944,Sucesso
relatorio_avaliacao-cmag-2020-abono.pdf,187.27,65,35,13,1321.23,7892,Sucesso
seguranca-publica-relatorio-de-avaliacao.pdf,378.46,196,123,70,1392.63,8836,Sucesso
relatorio_avaliacao-cmas-2019-pnmpo.pdf,436.72,51,41,38,1316.87,7232,Sucesso
relatorio_avaliacao-cmag-2019-judicializacao.pdf,421.71,24,7,6,1301.05,6718,Sucesso
relatorio_avaliacao_termoeletricidade_atualizacao.pdf,409.98,101,57,9,1339.79,8642,Sucesso
postos-mre_relatorio-de-avaliacao.pdf,291.58,69,47,16,1318.82,8482,Sucesso
pisf-relatorio-de-avaliacao.pdf,498.54,311,191,95,1433.72,8956,Sucesso
relatorio_avaliacao-cmag-2020-previdurb.pdf,1117.96,306,228,142,1412.98,8464,Sucesso
relatorio_avaliacao-cmag-2019-seguro-desemprego.pdf,1084.82,40,18,11,1312.88,7868,Sucesso
proresidencia-relatorio-de-avaliacao.pdf,1196.56,161,92,45,1369.09,8626,Sucesso
esgotamento-sanitario_relatorio-de-avaliacao.pdf,977.96,95,95,31,1333.15,8286,Sucesso
relatorio_avaliacao-cmag-2020-sisceab.pdf,476.16,113,62,34,1339.16,7720,Sucesso
manutencao-de-rodovias-relatorio-de-avaliacao.pdf,545.02,130,74,22,1339.3,7710,Sucesso
despesas-com-pct_relatorio-de-avaliacao.pdf,451.89,65,37,24,1316.98,9130,Sucesso
relatorio_avaliacao-cmag-2020-pnae.pdf,617.25,275,128,46,1406.87,8326,Sucesso
rfepct-relatorio-de-avaliacao.pdf,655.69,178,146,57,1361.53,7906,Sucesso
prouni_relatorio-de-avaliacao.pdf,626.97,74,85,30,1436.67,7974,Sucesso
benefprevfapi_relatorio-de-avaliacao.pdf,738.21,124,122,60,1346.65,8974,Sucesso
relatorio_avaliacao-cmas-2020-fcfs.pdf,711.87,151,174,90,1359.75,9356,Sucesso
fat-relatorio-de-avaliacoes.pdf,681.05,90,137,45,1320.63,7832,Sucesso
relatorio_avaliacao-cmas-2020-simples-nacional.pdf,698.91,93,58,11,1351.47,8834,Sucesso
relatorio-de-avaliacao-politica-de-prevencao-e-combate-ao-desmatamento-ile.pdf,615.87,124,67,25,1342.7,7952,Sucesso
despesas-educacao-irpf-relatorio-de-avaliacao.pdf,499.93,101,51,25,1344.02,7222,Sucesso
biodiesel_relatorio-de-avaliacao.pdf,484.25,133,102,43,1365.83,8846,Sucesso
politica-nuclear_relatorio-de-avaliacao.pdf,613.95,179,115,50,1369.47,9564,Sucesso
relatorio_avaliacao-cmas-2020-psrproagro.pdf,537.24,35,19,6,1308.02,6726,Sucesso
relatorio_avaliacao-cmas-2020-pmcmv.pdf,645.7,204,133,90,1382.37,9346,Sucesso
mei-relatorio-avaliacao.pdf,659.15,124,131,25,1369.38,7834,Sucesso
relatorio_avaliacao-cmag-2020-mac.pdf,489.62,60,47,15,1336.44,8028,Sucesso
fomento-p-d_relatorio-de-avaliacao.pdf,575.7,144,68,37,1370.66,9312,Sucesso
relatorio_avaliacao-cmag-2019-ceaf.pdf,520.31,117,77,38,1352.58,10528,Sucesso
relatorio_avaliacao-cmas-2019-lei-de-informatica.pdf,435.43,74,63,7,1357.34,10566,Sucesso
relatorio_avaliacao-cmag-2020-bpc.pdf,421.15,94,49,26,1334.04,10942,Sucesso
eubndes-relatorio-de-avaliacao.pdf,430.37,104,31,16,1328.79,9244,Sucesso
relatorio_avaliacao_wi-fibrasil_atualizacao.pdf,406.78,127,65,28,1357.14,10130,Sucesso
financ-ct-i-saude_relatorio-de-avaliacao.pdf,412.21,90,46,9,1346.57,9526,Sucesso
relatorio_avaliacao-cmag-2020-pbf.pdf,442.55,98,80,25,1346.68,11500,Sucesso
fndct-relatorio-de-avaliacao.pdf,508.22,155,98,47,1362.8,10476,Sucesso
relatorio_avaliacao-cmas-2019-cebas-educacao.pdf,434.17,60,42,13,1322.61,9366,Sucesso
fmm_relatorio-de-avaliacao.pdf,501.65,114,92,32,1356.07,11162,Sucesso
exames-educ-basica_relatorio-de-avaliacao.pdf,528.26,126,172,42,1352.17,10284,Sucesso
imuno-ist-relatorio-de-avaliacao.pdf,462.83,111,119,17,1343.6,10266,Sucesso
relatorio_avaliacao-cmag-2020-aps.pdf,480.42,81,51,38,1335.43,9224,Sucesso
relatorio_avaliacao-cmas-2019-proger.pdf,421.55,43,48,25,1312.26,8664,Sucesso
relatorio_avaliacao-cmag-sdpa.pdf,383.09,116,38,15,1341.37,9296,Sucesso
relatorio_avaliacao-cmag-2019-defesa-agropecuaria.pdf,458.83,143,92,36,1360.27,10516,Sucesso
relatorio_avaliacao-cmas-2020-pronaf.pdf,545.77,158,106,71,1351.95,9918,Sucesso
relatorio_avaliacao-cmas-2020-leasing.pdf,513.52,49,26,9,1325.92,8650,Sucesso
relatorio_avaliacao_fundoclima_atualizacao.pdf,659.55,251,165,80,1420.6,11142,Sucesso
rfu-relatorio-de-avaliacao.pdf,641.5,187,143,34,1371.91,9338,Sucesso
relatorio_avaliacao_lie_atualizacao.pdf,544.03,87,67,19,1338.03,9366,Sucesso
pronac_relatorio-de-avaliacao.pdf,712.62,195,113,54,1363.38,10984,Sucesso
parcela-isenta-irpf-aposentadoria-65-relatorio-de-avaliacao.pdf,524.88,60,49,19,1316.97,8680,Sucesso
proex_relatorio-de-avaliacao.pdf,434.56,63,55,35,1317.09,10186,Sucesso
relatorio_avaliacao_ocp_atualizacao.pdf,480.4,144,98,52,1352.09,10672,Sucesso
sasisus_relatorio-de-avaliacao.pdf,543.29,177,167,72,1387.62,10852,Sucesso
relatorio_avaliacao-cmas-2019-fies.pdf,562.06,57,41,18,1333.19,8650,Sucesso
relatorio_avaliacao-cmas-2020-cebas-saude.pdf,616.59,123,115,39,1334.91,8670,Sucesso
ftra_relatorio-de-avaliacao.pdf,570.84,89,30,13,1319.3,9390,Sucesso
desoneracao-cesta-basica-relatorio-de-avaliacao.pdf,453.42,98,88,33,1326.38,9236,Sucesso
medicamentos-relatorio-de-avaliacao.pdf,489.4,94,66,43,1339.46,9942,Sucesso
relatorio_avaliacao-cmas-2019-cde.pdf,489.47,88,82,24,1342.14,10478,Sucesso
93eb657d-9a51-4a08-a3b8-814d60663feb.pdf,258.83,62,33,10,1318.18,9399,Sucesso
perse_publicacao.pdf,228.09,62,33,10,1317.41,11184,Sucesso
perse_publicacao.pdf,229.64,62,33,10,1316.54,11184,Sucesso
